[2026-05-12 20:45:25,794] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33586.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:26,818] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33586.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:27,793] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33719.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:28,817] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33719.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:29,792] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33719.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:30,816] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33799.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:31,839] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33799.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:32,814] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33799.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:33,838] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33799.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:34,813] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33907.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:35,837] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33907.0 Ω | Previsão Nicla: fresca
