timestamp_unix,timestamp_iso,voltage_v,current_a,power_w,temp_c,energy_ws,capacity_as,duration_sec
1778614080.6887953,2026-05-12T20:28:00.688798,5.12922,0.7899,4.051570878000001,27.5,0.040515708780000007,0.007899,0.012375116348266602
1778614080.688835,2026-05-12T20:28:00.688835,5.12922,0.78368,4.0196671296,27.5,0.08071238007600001,0.0157358,0.012375116348266602
1778614080.6888418,2026-05-12T20:28:00.688842,5.12922,0.79289,4.0669072458,27.5,0.12138145253400001,0.0236647,0.012375116348266602
1778614080.6888459,2026-05-12T20:28:00.688845,5.12922,0.79189,4.0617780258,27.5,0.16199923279200001,0.0315836,0.012375116348266602
1778614080.7161887,2026-05-12T20:28:00.716190,5.12703,0.58445,2.9964926835000005,28.0,0.19196415962700003,0.037428100000000006,0.03976798057556152
1778614080.7162032,2026-05-12T20:28:00.716203,5.12695,0.57225,2.9338971375000003,28.0,0.22130313100200003,0.043150600000000004,0.03976798057556152
1778614080.7162154,2026-05-12T20:28:00.716215,5.12695,0.58268,2.9873712259999996,28.0,0.251176843262,0.048977400000000004,0.03976798057556152
1778614080.7162192,2026-05-12T20:28:00.716219,5.12695,0.58268,2.9873712259999996,28.0,0.28105055552200003,0.054804200000000004,0.03976798057556152
1778614080.756577,2026-05-12T20:28:00.756582,5.12695,0.58268,2.9873712259999996,28.0,0.31092426778200005,0.060631000000000004,0.08014297485351562
1778614080.7566216,2026-05-12T20:28:00.756623,5.12695,0.58268,2.9873712259999996,28.0,0.34079798004200007,0.06645780000000001,0.08014297485351562
1778614080.7567186,2026-05-12T20:28:00.756722,5.12695,0.58268,2.9873712259999996,28.0,0.3706716923020001,0.0722846,0.08014297485351562
1778614080.7567563,2026-05-12T20:28:00.756797,5.12695,0.58268,2.9873712259999996,28.0,0.4005454045620001,0.0781114,0.08014297485351562
1778614080.7965326,2026-05-12T20:28:00.796534,5.12695,0.58268,2.9873712259999996,28.0,0.4304191168220001,0.08393819999999999,0.12011480331420898
1778614080.7965474,2026-05-12T20:28:00.796548,5.12695,0.58268,2.9873712259999996,28.0,0.46029282908200014,0.08976499999999998,0.12011480331420898
1778614080.7965522,2026-05-12T20:28:00.796552,5.12695,0.58268,2.9873712259999996,28.0,0.49016654134200016,0.09559179999999998,0.12011480331420898
1778614080.796556,2026-05-12T20:28:00.796556,5.12703,0.57994,2.9733697782000004,28.0,0.5199002391240002,0.10139119999999997,0.12011480331420898
1778614080.8364692,2026-05-12T20:28:00.836472,5.12703,0.57994,2.9733697782000004,28.0,0.5496339369060002,0.10719059999999997,0.16004490852355957
1778614080.8364947,2026-05-12T20:28:00.836495,5.12703,0.5613,2.8778019390000003,28.0,0.5784119562960002,0.11280359999999998,0.16004490852355957
1778614080.8365042,2026-05-12T20:28:00.836504,5.12703,0.56702,2.9071285506,28.0,0.6074832418020002,0.11847379999999998,0.16004490852355957
1778614080.8365133,2026-05-12T20:28:00.836513,5.12703,0.57994,2.9733697782000004,28.0,0.6372169395840002,0.12427319999999997,0.16004490852355957
1778614080.8768075,2026-05-12T20:28:00.876813,5.12703,0.57994,2.9733697782000004,28.0,0.6669506373660001,0.13007259999999998,0.20037341117858887
1778614080.8768559,2026-05-12T20:28:00.876857,5.12703,0.5999,3.0757052970000003,28.0,0.6977076903360001,0.1360716,0.20037341117858887
1778614080.876878,2026-05-12T20:28:00.876879,5.12703,0.57994,2.9733697782000004,28.0,0.7274413881180001,0.141871,0.20037341117858887
1778614080.8768966,2026-05-12T20:28:00.876897,5.12703,0.57994,2.9733697782000004,28.0,0.7571750859,0.1476704,0.20037341117858887
1778614080.9169014,2026-05-12T20:28:00.916906,5.12703,0.57994,2.9733697782000004,28.0,0.786908783682,0.15346980000000002,0.24046850204467773
1778614080.91695,2026-05-12T20:28:00.916951,5.12691,0.57802,2.9634565181999997,28.0,0.816543348864,0.15925000000000003,0.24046850204467773
1778614080.9170115,2026-05-12T20:28:00.917016,5.12691,0.57802,2.9634565181999997,28.0,0.8461779140460001,0.16503020000000004,0.24046850204467773
1778614080.9170501,2026-05-12T20:28:00.917052,5.12691,0.57802,2.9634565181999997,28.0,0.8758124792280001,0.17081040000000006,0.24046850204467773
1778614080.9564693,2026-05-12T20:28:00.956478,5.12691,0.56229,2.8828102238999995,28.0,0.9046405814670001,0.17643330000000004,0.28002190589904785
1778614080.9565952,2026-05-12T20:28:00.956597,5.12691,0.57802,2.9634565181999997,28.0,0.9342751466490001,0.18221350000000006,0.28002190589904785
1778614080.9566476,2026-05-12T20:28:00.956650,5.12691,0.58894,3.0194423753999997,28.0,0.9644695704030002,0.18810290000000005,0.28002190589904785
1778614080.956689,2026-05-12T20:28:00.956690,5.12691,0.57802,2.9634565181999997,28.0,0.9941041355850002,0.19388310000000006,0.28002190589904785
1778614080.9969914,2026-05-12T20:28:00.996998,5.12691,0.57802,2.9634565181999997,28.0,1.0237387007670002,0.19966330000000007,0.32054996490478516
1778614080.9970596,2026-05-12T20:28:00.997061,5.12691,0.56304,2.8866554063999996,28.0,1.0526052548310003,0.20529370000000008,0.32054996490478516
1778614080.9970949,2026-05-12T20:28:00.997096,5.12691,0.5608,2.8751711279999994,28.0,1.0813569661110003,0.21090170000000008,0.32054996490478516
1778614080.9971304,2026-05-12T20:28:00.997132,5.12691,0.57806,2.9636615946,28.0,1.1109935820570003,0.21668230000000008,0.32054996490478516
1778614081.0368075,2026-05-12T20:28:01.036812,5.12691,0.57806,2.9636615946,28.0,1.1406301980030003,0.22246290000000007,0.36037349700927734
1778614081.036855,2026-05-12T20:28:01.036856,5.12691,0.57806,2.9636615946,28.0,1.1702668139490002,0.22824350000000007,0.36037349700927734
1778614081.0368726,2026-05-12T20:28:01.036873,5.12691,0.57806,2.9636615946,28.0,1.1999034298950002,0.23402410000000007,0.36037349700927734
1778614081.036888,2026-05-12T20:28:01.036888,5.12691,0.57806,2.9636615946,28.0,1.2295400458410002,0.23980470000000007,0.36037349700927734
1778614081.0767412,2026-05-12T20:28:01.076747,5.12691,0.57806,2.9636615946,28.0,1.2591766617870002,0.24558530000000006,0.40030717849731445
1778614081.0767908,2026-05-12T20:28:01.076792,5.12691,0.57806,2.9636615946,28.0,1.2888132777330001,0.2513659000000001,0.40030717849731445
1778614081.07681,2026-05-12T20:28:01.076811,5.12691,0.57806,2.9636615946,28.0,1.3184498936790001,0.2571465000000001,0.40030717849731445
