timestamp_unix,timestamp_iso,voltage_v,current_a,power_w,temp_c,energy_ws,capacity_as,duration_sec
1778615930.16469,2026-05-12T20:58:50.164693,5.09764,0.62554,3.1887777256,27.7,0.031887777256,0.0062554,0.040172576904296875
1778615930.1647363,2026-05-12T20:58:50.164737,5.12906,0.64591,3.3129111445999997,27.7,0.065016888702,0.0127145,0.040172576904296875
1778615930.1647465,2026-05-12T20:58:50.164747,5.12906,0.64591,3.3129111445999997,27.7,0.09814600014799998,0.0191736,0.040172576904296875
1778615930.164756,2026-05-12T20:58:50.164756,5.12906,0.63451,3.2544398606000002,27.7,0.130690398754,0.0255187,0.040172576904296875
1778615930.205139,2026-05-12T20:58:50.205146,5.12906,0.63526,3.2582866556,27.7,0.16327326530999997,0.0318713,0.08060240745544434
1778615930.205191,2026-05-12T20:58:50.205192,5.12906,0.62978,3.2301794068,27.7,0.19557505937799996,0.0381691,0.08060240745544434
1778615930.205237,2026-05-12T20:58:50.205237,5.12895,0.84195,4.3183194525,27.7,0.23875825390299996,0.046588599999999994,0.08060240745544434
1778615930.2052536,2026-05-12T20:58:50.205254,5.12895,0.58446,2.9976661169999996,27.7,0.26873491507299996,0.05243319999999999,0.08060240745544434
1778615930.2443464,2026-05-12T20:58:50.244348,5.12895,0.59616,3.057674832,27.7,0.29931166339299997,0.05839479999999999,0.11983370780944824
1778615930.2443612,2026-05-12T20:58:50.244361,5.12895,0.59765,3.0653169675,27.7,0.32996483306799995,0.06437129999999999,0.11983370780944824
1778615930.244366,2026-05-12T20:58:50.244366,5.10891,0.64228,3.2813507148,27.7,0.362778340216,0.0707941,0.11983370780944824
1778615930.244371,2026-05-12T20:58:50.244372,5.12895,0.58396,2.995101642,27.7,0.39272935663599995,0.0766337,0.11983370780944824
1778615930.2843502,2026-05-12T20:58:50.284352,5.12895,0.59143,3.0334148985,27.7,0.4230635056209999,0.082548,0.1598367691040039
1778615930.284366,2026-05-12T20:58:50.284366,5.12895,0.59168,3.0346971359999997,27.7,0.4534104769809999,0.0884648,0.1598367691040039
1778615930.2843704,2026-05-12T20:58:50.284370,5.12895,0.59815,3.0678814424999996,27.7,0.4840892914059999,0.0944463,0.1598367691040039
1778615930.2843742,2026-05-12T20:58:50.284374,5.12895,0.72491,3.7180271445,27.7,0.5212695628509999,0.10169539999999999,0.1598367691040039
1778615930.3243537,2026-05-12T20:58:50.324355,5.12891,0.58172,2.9835895252,27.7,0.5511054581029999,0.10751259999999999,0.19984030723571777
1778615930.3243685,2026-05-12T20:58:50.324368,5.12891,0.71968,3.6911739488,27.7,0.5880171975909999,0.11470939999999999,0.19984030723571777
1778615930.3243725,2026-05-12T20:58:50.324372,5.12891,0.59218,3.0372379238000002,27.7,0.6183895768289999,0.1206312,0.19984030723571777
1778615930.3243763,2026-05-12T20:58:50.324376,5.12891,0.58744,3.0129268904,27.7,0.6485188457329999,0.1265056,0.19984030723571777
1778615930.3642776,2026-05-12T20:58:50.364279,5.12891,0.59516,3.0525220756,27.7,0.6790440664889998,0.1324572,0.23976492881774902
1778615930.3642936,2026-05-12T20:58:50.364293,5.12891,0.58844,3.0180558004,27.7,0.7092246244929998,0.1383416,0.23976492881774902
1778615930.3642983,2026-05-12T20:58:50.364298,5.12891,0.58769,3.0142091179000006,27.7,0.7393667156719999,0.1442185,0.23976492881774902
1778615930.3643024,2026-05-12T20:58:50.364302,5.10766,0.61683,3.1505579178,27.7,0.7708722948499999,0.1503868,0.23976492881774902
1778615930.4043365,2026-05-12T20:58:50.404338,5.12891,0.58769,3.0142091179000006,27.7,0.8010143860289999,0.15626369999999998,0.27982306480407715
1778615930.404352,2026-05-12T20:58:50.404352,5.12891,0.5867,3.0091314970000003,27.7,0.8311057009989999,0.1621307,0.27982306480407715
1778615930.4043632,2026-05-12T20:58:50.404364,5.12891,0.59143,3.0333912413000004,27.7,0.8614396134119999,0.168045,0.27982306480407715
